,Fluid milk,Butter,Cheese,Yogurt,"Dairy, Other"
1994-1998,84.41,67.95,59.5,88.75,66.08
2003-2004,88.87,73.36,57.82,89.19,71.57
2005-2006,89.12,78.53,58.51,94.66,67.78
2007-2008,88.11,75.47,58.33,91.19,71.12
