,Apples as fruit,Bananas,Berries,Grapes,Melons,"Oranges, Total",Other citrus fruit,Stone fruit,Tropical fruit
1994-1998,91.3,96.05,85.58,90.24,86.56,89.21,83.07,91.14,82.38
2003-2004,93.01,96.03,91.01,92.12,86.98,88.84,77.83,93.74,87.72
2005-2006,92.78,95.93,93.26,94.22,92.75,89.53,80.41,93.53,81.97
2007-2008,94.19,95.5,91.4,94.03,90.76,88.97,77.55,96.57,86.69
